time,halfW01,d0,d1,d2,d3
2.841,0.7402,0,0,0,0
0.338,0.7481,1,3,3,1
0.367,0.7490,1,3,3,1
0.405,0.7499,1,3,3,1
0.438,0.7504,1,3,3,1
0.465,0.7514,1,3,3,1
0.496,0.7518,1,3,3,1
0.539,0.7528,1,3,3,1
0.572,0.7538,1,3,3,1
0.605,0.7548,1,3,3,1
0.632,0.7552,1,3,3,1
0.659,0.7557,1,3,3,1
0.705,0.7572,1,3,3,2
0.738,0.7578,1,3,3,2
0.771,0.7588,1,3,3,2
0.798,0.7593,1,3,3,2
0.839,0.7603,1,3,3,2
0.871,0.7614,1,3,3,2
0.905,0.7625,1,3,3,2
0.938,0.7630,1,3,3,2
0.964,0.7641,1,3,3,2
0.992,0.7647,1,3,3,2
1.038,0.7658,1,3,3,2
1.071,0.7669,1,3,3,2
1.105,0.7680,1,3,3,2
1.138,0.7686,1,3,3,2
1.171,0.7697,1,3,3,2
1.205,0.7709,1,3,3,2
1.239,0.7715,1,3,3,2
1.272,0.7727,1,3,3,2
1.299,0.7732,1,3,3,2
1.326,0.7744,1,3,3,2
1.372,0.7756,1,3,3,2
1.405,0.7768,1,3,3,2
1.439,0.7774,1,3,3,2
1.465,0.7786,1,3,3,2
1.493,0.7791,1,3,3,2
1.539,0.7803,1,3,3,2
1.572,0.7815,1,3,3,2
1.606,0.7827,1,3,3,2
1.639,0.7833,0,0,0,0
1.672,0.7844,0,0,0,0
1.705,0.7856,0,0,0,0
1.739,0.7862,0,0,0,0
1.772,0.7873,0,0,0,0
1.805,0.7884,0,0,0,0
1.828,0.7890,0,0,0,0
1.872,0.7901,0,0,0,0
1.905,0.7912,0,0,0,0
1.939,0.7918,0,0,0,0
1.972,0.7929,0,0,0,0
1.994,0.7934,0,0,0,0
2.038,0.7945,0,0,0,0
2.071,0.7955,0,0,0,0
2.105,0.7966,0,0,0,0
2.138,0.7971,0,0,0,0
2.161,0.7981,0,0,0,0
2.205,0.7991,0,0,0,0
2.238,0.7996,0,0,0,0
2.271,0.8006,0,0,0,0
2.305,0.8016,0,0,0,0
2.329,0.8020,0,0,0,0
2.372,0.8030,0,0,0,0
2.405,0.8039,0,0,0,0
2.438,0.8044,0,0,0,0
2.472,0.8053,0,0,0,0
2.496,0.8057,0,0,0,0
2.538,0.8066,0,0,0,0
2.571,0.8074,0,0,0,0
2.605,0.8082,0,0,0,0
2.639,0.8087,0,0,0,0
2.662,0.8095,0,0,0,0
2.705,0.8103,0,0,0,0
2.738,0.8106,0,0,0,0
2.772,0.8114,0,0,0,0
2.805,0.8121,0,0,0,0
2.838,0.8125,0,0,0,0
2.872,0.8132,0,0,0,0
2.905,0.8139,0,0,0,0
2.938,0.8143,0,0,0,0
2.972,0.8149,0,0,0,0
3.005,0.8156,0,0,0,0
3.038,0.8159,0,0,0,0
3.072,0.8166,0,0,0,0
3.105,0.8172,0,0,0,0
3.139,0.8175,0,0,0,0
3.172,0.8181,0,0,0,0
3.205,0.8186,0,0,0,0
3.238,0.8189,0,0,0,0
3.271,0.8195,0,0,0,0
