time,halfW01,d0,d1,d2,d3
2.750,0.7286,0,0,0,0
0.339,0.7320,2,3,3,1
0.371,0.7325,2,3,3,1
0.405,0.7330,2,3,3,1
0.438,0.7333,2,3,3,1
0.471,0.7338,2,3,3,1
0.505,0.7343,2,3,4,1
0.539,0.7346,2,3,4,1
0.572,0.7351,2,3,4,1
0.604,0.7357,2,3,4,1
0.639,0.7360,2,3,4,1
0.711,0.7371,2,3,4,1
0.716,0.7371,2,3,4,1
0.749,0.7376,2,3,4,1
0.782,0.7382,2,3,4,1
0.816,0.7385,2,3,4,1
0.849,0.7390,2,3,4,1
0.882,0.7396,2,3,4,1
0.914,0.7399,2,3,4,1
0.947,0.7404,2,3,4,1
0.981,0.7410,2,3,4,1
1.015,0.7413,2,3,4,1
1.048,0.7418,2,3,4,1
1.081,0.7424,2,3,4,1
1.115,0.7427,2,3,4,1
1.147,0.7432,2,3,4,1
1.181,0.7438,2,3,4,1
1.215,0.7440,2,3,4,1
1.249,0.7446,2,3,4,1
1.281,0.7451,2,3,4,1
1.315,0.7454,0,0,0,0
1.348,0.7459,0,0,0,0
1.381,0.7465,0,0,0,0
1.415,0.7467,0,0,0,0
1.448,0.7473,0,0,0,0
1.483,0.7478,0,0,0,0
1.513,0.7480,0,0,0,0
1.551,0.7485,0,0,0,0
1.584,0.7490,0,0,0,0
1.614,0.7493,0,0,0,0
1.648,0.7498,0,0,0,0
1.682,0.7503,0,0,0,0
1.715,0.7505,0,0,0,0
1.750,0.7510,0,0,0,0
1.782,0.7515,0,0,0,0
1.815,0.7517,0,0,0,0
1.849,0.7521,0,0,0,0
1.881,0.7526,0,0,0,0
1.915,0.7528,0,0,0,0
1.951,0.7533,0,0,0,0
1.983,0.7537,0,0,0,0
2.014,0.7539,0,0,0,0
2.049,0.7543,0,0,0,0
2.081,0.7547,0,0,0,0
2.117,0.7550,0,0,0,0
2.148,0.7554,0,0,0,0
2.182,0.7558,0,0,0,0
2.218,0.7560,0,0,0,0
2.249,0.7564,0,0,0,0
2.281,0.7567,0,0,0,0
2.315,0.7569,0,0,0,0
2.349,0.7573,0,0,0,0
2.381,0.7577,0,0,0,0
2.416,0.7579,0,0,0,0
2.449,0.7582,0,0,0,0
2.482,0.7586,0,0,0,0
2.515,0.7588,0,0,0,0
2.548,0.7591,0,0,0,0
2.582,0.7595,0,0,0,0
2.617,0.7596,0,0,0,0
2.650,0.7600,0,0,0,0
2.681,0.7603,0,0,0,0
2.717,0.7605,0,0,0,0
2.751,0.7608,0,0,0,0
2.780,0.7611,0,0,0,0
2.815,0.7613,0,0,0,0
2.848,0.7616,0,0,0,0
2.883,0.7622,0,0,0,0
2.914,0.7624,0,0,0,0
2.948,0.7630,0,0,0,0
2.981,0.7635,0,0,0,0
3.015,0.7638,0,0,0,0
