time,halfW01,d0,d1,d2,d3
2.926,0.8000,0,0,0,0
0.336,0.8133,1,3,3,1
0.370,0.8148,1,3,3,1
0.403,0.8163,1,3,3,1
0.436,0.8170,1,3,3,1
0.470,0.8184,1,3,3,1
0.503,0.8198,1,3,3,1
0.537,0.8205,1,3,3,1
0.569,0.8218,1,3,3,1
0.603,0.8231,1,3,3,1
0.636,0.8238,1,3,3,1
0.670,0.8250,1,3,3,1
0.703,0.8263,1,3,3,1
0.736,0.8269,1,3,3,1
0.769,0.8280,1,3,3,1
0.803,0.8292,1,3,3,1
0.837,0.8297,1,3,3,1
0.870,0.8308,1,3,3,1
0.903,0.8319,1,3,3,1
0.936,0.8324,1,3,3,1
0.970,0.8334,1,3,3,1
1.003,0.8344,1,3,3,1
1.036,0.8349,1,3,3,1
1.070,0.8359,1,3,3,1
1.103,0.8368,1,3,3,1
1.137,0.8372,1,3,3,1
1.170,0.8381,1,3,3,1
1.203,0.8390,1,3,3,1
1.236,0.8394,1,3,3,1
1.269,0.8402,1,3,3,1
1.303,0.8410,1,3,3,1
1.336,0.8413,1,3,3,1
1.370,0.8421,1,3,3,1
1.403,0.8428,1,3,3,1
1.436,0.8431,1,3,3,1
1.470,0.8438,1,3,3,1
1.503,0.8445,1,3,3,1
1.537,0.8448,1,3,3,1
1.570,0.8454,1,3,3,1
1.603,0.8460,1,3,3,1
1.636,0.8463,0,0,0,0
1.670,0.8468,0,0,0,0
1.703,0.8474,0,0,0,0
1.736,0.8476,0,0,0,0
1.769,0.8481,0,0,0,0
1.803,0.8486,0,0,0,0
1.836,0.8488,0,0,0,0
1.870,0.8493,0,0,0,0
1.903,0.8497,0,0,0,0
1.936,0.8499,0,0,0,0
1.969,0.8503,0,0,0,0
2.003,0.8507,0,0,0,0
2.036,0.8509,0,0,0,0
2.069,0.8512,0,0,0,0
2.103,0.8516,0,0,0,0
2.137,0.8517,0,0,0,0
2.170,0.8520,0,0,0,0
2.203,0.8523,0,0,0,0
2.237,0.8525,0,0,0,0
2.270,0.8527,0,0,0,0
2.303,0.8530,0,0,0,0
2.336,0.8531,0,0,0,0
2.370,0.8533,0,0,0,0
2.403,0.8536,0,0,0,0
2.436,0.8537,0,0,0,0
2.469,0.8539,0,0,0,0
2.503,0.8540,0,0,0,0
2.537,0.8541,0,0,0,0
2.570,0.8543,0,0,0,0
2.603,0.8545,0,0,0,0
2.637,0.8545,0,0,0,0
2.670,0.8547,0,0,0,0
2.703,0.8548,0,0,0,0
2.736,0.8549,0,0,0,0
2.770,0.8550,0,0,0,0
2.803,0.8551,0,0,0,0
2.837,0.8551,0,0,0,0
2.870,0.8552,0,0,0,0
2.903,0.8553,0,0,0,0
2.936,0.8553,0,0,0,0
2.970,0.8554,0,0,0,0
3.003,0.8555,0,0,0,0
3.036,0.8555,0,0,0,0
3.070,0.8555,0,0,0,0
3.103,0.8556,0,0,0,0
3.136,0.8556,0,0,0,0
3.170,0.8556,0,0,0,0
3.203,0.8557,0,0,0,0
3.236,0.8557,0,0,0,0
3.270,0.8557,0,0,0,0
3.303,0.8557,0,0,0,0
3.337,0.8557,0,0,0,0
3.370,0.8557,0,0,0,0
3.403,0.8557,0,0,0,0
3.436,0.8557,0,0,0,0
3.470,0.8557,0,0,0,0
3.503,0.8557,0,0,0,0
3.537,0.8556,0,0,0,0
3.570,0.8556,0,0,0,0
3.603,0.8556,0,0,0,0
3.637,0.8556,0,0,0,0
3.670,0.8555,0,0,0,0
3.703,0.8555,0,0,0,0
3.736,0.8555,0,0,0,0
3.770,0.8554,0,0,0,0
3.803,0.8554,0,0,0,0
3.836,0.8554,0,0,0,0
3.870,0.8553,0,0,0,0
3.903,0.8552,0,0,0,0
3.936,0.8552,0,0,0,0
3.969,0.8551,0,0,0,0
4.003,0.8551,0,0,0,0
4.036,0.8550,0,0,0,0
4.069,0.8550,0,0,0,0
4.103,0.8549,0,0,0,0
4.136,0.8549,0,0,0,0
4.170,0.8548,0,0,0,0
4.203,0.8547,0,0,0,0
4.236,0.8547,0,0,0,0
4.269,0.8546,0,0,0,0
4.303,0.8545,0,0,0,0
4.336,0.8544,0,0,0,0
4.370,0.8544,0,0,0,0
4.403,0.8543,0,0,0,0
4.436,0.8542,0,0,0,0
4.470,0.8541,0,0,0,0
4.503,0.8540,0,0,0,0
4.536,0.8540,0,0,0,0
4.570,0.8539,0,0,0,0
4.605,0.8538,0,0,0,0
4.636,0.8537,0,0,0,0
4.669,0.8536,0,0,0,0
4.703,0.8535,0,0,0,0
4.736,0.8534,0,0,0,0
4.770,0.8533,0,0,0,0
4.803,0.8532,0,0,0,0
4.836,0.8532,0,0,0,0
4.870,0.8531,0,0,0,0
4.903,0.8529,0,0,0,0
4.937,0.8529,0,0,0,0
4.970,0.8528,0,0,0,0
