time,halfW01,d0,d1,d2,d3
2.931,0.7348,0,1,0,0
0.333,0.7422,1,3,3,1
0.376,0.7430,1,3,3,1
0.403,0.7434,1,3,3,1
0.430,0.7441,1,3,3,1
0.468,0.7453,1,3,3,1
0.501,0.7460,1,3,3,1
0.530,0.7473,1,3,3,1
0.567,0.7485,1,4,3,1
0.601,0.7492,1,4,3,1
0.633,0.7504,1,4,3,1
0.666,0.7517,1,4,3,1
0.699,0.7523,1,4,3,1
0.734,0.7535,1,4,3,1
0.768,0.7547,1,4,3,1
0.799,0.7553,1,4,3,1
0.833,0.7565,1,4,3,1
0.867,0.7576,1,4,3,1
0.899,0.7582,1,4,3,1
0.932,0.7593,1,4,3,1
0.967,0.7604,1,4,3,1
1.000,0.7610,1,4,3,1
1.033,0.7621,1,4,3,1
1.067,0.7632,1,4,3,1
1.099,0.7637,1,4,3,1
1.134,0.7647,1,4,3,1
1.168,0.7658,1,4,3,1
1.200,0.7663,1,4,3,1
1.234,0.7673,1,4,3,1
1.266,0.7683,1,4,3,1
1.301,0.7688,1,4,3,1
1.333,0.7698,1,4,3,1
1.366,0.7707,1,4,3,1
1.399,0.7712,1,4,3,1
1.433,0.7722,1,4,3,1
1.467,0.7731,1,4,3,1
1.500,0.7735,1,4,3,1
1.534,0.7744,1,4,3,1
1.566,0.7753,1,4,3,1
1.600,0.7757,1,4,3,1
1.634,0.7766,0,0,0,0
1.669,0.7774,0,0,0,0
1.700,0.7778,0,0,0,0
1.733,0.7786,0,0,0,0
1.766,0.7794,0,0,0,0
1.801,0.7798,0,0,0,0
1.833,0.7806,0,0,0,0
1.868,0.7813,0,0,0,0
1.901,0.7817,0,0,0,0
1.936,0.7824,0,0,0,0
1.968,0.7831,0,0,0,0
1.999,0.7834,0,0,0,0
2.034,0.7841,0,0,0,0
2.066,0.7847,0,0,0,0
2.100,0.7851,0,0,0,0
2.134,0.7857,0,0,0,0
2.167,0.7863,0,0,0,0
2.200,0.7866,0,0,0,0
2.234,0.7871,0,0,0,0
2.266,0.7877,0,0,0,0
2.301,0.7880,0,0,0,0
2.333,0.7885,0,0,0,0
2.367,0.7890,0,0,0,0
2.400,0.7892,0,0,0,0
2.433,0.7897,0,0,0,0
2.466,0.7902,0,0,0,0
2.500,0.7904,0,0,0,0
2.534,0.7908,0,0,0,0
2.567,0.7912,0,0,0,0
2.599,0.7914,0,0,0,0
2.634,0.7918,0,0,0,0
2.669,0.7921,0,0,0,0
2.700,0.7923,0,0,0,0
2.733,0.7926,0,0,0,0
2.766,0.7929,0,0,0,0
2.800,0.7931,0,0,0,0
2.834,0.7933,0,0,0,0
2.866,0.7936,0,0,0,0
2.901,0.7937,0,0,0,0
2.934,0.7939,0,0,0,0
2.967,0.7941,0,0,0,0
3.000,0.7942,0,0,0,0
3.033,0.7944,0,0,0,0
3.067,0.7946,0,0,0,0
3.101,0.7946,0,0,0,0
3.134,0.7948,0,0,0,0
3.168,0.7949,0,0,0,0
3.199,0.7949,0,0,0,0
3.234,0.7950,0,0,0,0
3.267,0.7951,0,0,0,0
3.299,0.7951,0,0,0,0
3.332,0.7951,0,0,0,0
3.366,0.7951,0,0,0,0
3.401,0.7951,0,0,0,0
3.434,0.7951,0,0,0,0
3.467,0.7951,0,0,0,0
3.500,0.7951,0,0,0,0
3.534,0.7950,0,0,0,0
3.567,0.7950,0,0,0,0
3.599,0.7949,0,0,0,0
3.634,0.7948,0,0,0,0
3.667,0.7947,0,0,0,0
3.700,0.7947,0,0,0,0
3.733,0.7945,0,0,0,0
3.767,0.7944,0,0,0,0
3.801,0.7943,0,0,0,0
3.834,0.7941,0,0,0,0
3.866,0.7940,0,0,0,0
3.900,0.7939,0,0,0,0
3.934,0.7937,0,0,0,0
3.967,0.7934,0,0,0,0
4.000,0.7933,0,0,0,0
4.033,0.7931,0,0,0,0
4.068,0.7928,0,0,0,0
4.099,0.7927,0,0,0,0
4.133,0.7924,0,0,0,0
4.166,0.7922,0,0,0,0
4.199,0.7920,0,0,0,0
4.234,0.7917,0,0,0,0
4.268,0.7914,0,0,0,0
4.300,0.7913,0,0,0,0
4.333,0.7910,0,0,0,0
4.367,0.7907,0,0,0,0
4.400,0.7905,0,0,0,0
4.433,0.7902,0,0,0,0
4.466,0.7898,0,0,0,0
4.499,0.7896,0,0,0,0
4.533,0.7893,0,0,0,0
4.566,0.7889,0,0,0,0
4.600,0.7888,0,0,0,0
4.633,0.7884,0,0,0,0
4.666,0.7880,0,0,0,0
4.700,0.7878,0,0,0,0
4.733,0.7875,0,0,0,0
4.767,0.7871,0,0,0,0
4.801,0.7869,0,0,0,0
4.834,0.7865,0,0,0,0
4.866,0.7861,0,0,0,0
4.899,0.7859,0,0,0,0
4.933,0.7856,0,0,0,0
4.967,0.7852,0,0,0,0
5.000,0.7850,0,0,0,0
5.033,0.7846,0,0,0,0
5.066,0.7842,0,0,0,0
5.100,0.7840,0,0,0,0
5.133,0.7836,0,0,0,0
5.167,0.7832,0,0,0,0
5.199,0.7830,0,0,0,0
5.234,0.7826,0,0,0,0
5.266,0.7823,0,0,0,0
5.301,0.7821,0,0,0,0
5.334,0.7817,0,0,0,0
5.367,0.7813,0,0,0,0
5.399,0.7811,0,0,0,0
5.430,0.7807,0,0,0,0
5.466,0.7804,0,0,0,0
5.502,0.7802,0,0,0,0
5.533,0.7798,0,0,0,0
5.567,0.7795,0,0,0,0
5.599,0.7793,0,0,0,0
5.634,0.7789,0,0,0,0
5.667,0.7786,0,0,0,0
5.699,0.7784,0,0,0,0
5.734,0.7780,0,0,0,0
5.766,0.7777,0,0,0,0
5.800,0.7775,0,0,0,0
5.833,0.7772,0,0,0,0
5.867,0.7769,0,0,0,0
5.900,0.7767,0,0,0,0
5.932,0.7764,0,0,0,0
5.967,0.7761,0,0,0,0
6.000,0.7759,0,0,0,0
6.034,0.7756,0,0,0,0
6.067,0.7753,0,0,0,0
6.099,0.7751,0,0,0,0
6.134,0.7748,0,0,0,0
6.168,0.7746,0,0,0,0
6.202,0.7744,0,0,0,0
6.234,0.7741,0,0,0,0
6.266,0.7738,0,0,0,0
6.299,0.7737,0,0,0,0
6.333,0.7734,0,0,0,0
6.367,0.7732,0,0,0,0
6.400,0.7730,0,0,0,0
6.433,0.7728,0,0,0,0
6.467,0.7725,0,0,0,0
6.500,0.7724,0,0,0,0
6.533,0.7722,0,0,0,0
6.567,0.7719,0,0,0,0
6.599,0.7718,0,0,0,0
6.633,0.7716,0,0,0,0
6.667,0.7713,0,0,0,0
6.701,0.7712,0,0,0,0
6.735,0.7710,0,0,0,0
6.768,0.7708,0,0,0,0
6.801,0.7707,0,0,0,0
6.835,0.7705,0,0,0,0
6.867,0.7703,0,0,0,0
6.900,0.7702,0,0,0,0
6.934,0.7700,0,0,0,0
6.967,0.7698,0,0,0,0
7.000,0.7697,0,0,0,0
7.035,0.7695,0,0,0,0
7.066,0.7693,0,0,0,0
7.099,0.7693,0,0,0,0
7.133,0.7691,0,0,0,0
7.168,0.7689,0,0,0,0
7.200,0.7688,0,0,0,0
7.233,0.7687,0,0,0,0
7.266,0.7685,0,0,0,0
7.300,0.7684,0,0,0,0
7.333,0.7683,0,0,0,0
7.367,0.7681,0,0,0,0
7.400,0.7680,0,0,0,0
7.433,0.7679,0,0,0,0
7.467,0.7678,0,0,0,0
7.499,0.7677,0,0,0,0
7.534,0.7676,0,0,0,0
7.567,0.7674,0,0,0,0
7.599,0.7674,0,0,0,0
7.634,0.7672,0,0,0,0
7.666,0.7671,0,0,0,0
7.700,0.7670,0,0,0,0
7.734,0.7669,0,0,0,0
7.767,0.7668,0,0,0,0
7.800,0.7668,0,0,0,0
7.837,0.7666,0,0,0,0
7.867,0.7665,0,0,0,0
7.899,0.7665,0,0,0,0
7.934,0.7664,0,0,0,0
7.967,0.7663,0,0,0,0
8.000,0.7662,0,0,0,0
8.033,0.7661,0,0,0,0
8.067,0.7660,0,0,0,0
8.101,0.7660,0,0,0,0
8.134,0.7659,0,0,0,0
8.167,0.7658,0,0,0,0
8.200,0.7658,0,0,0,0
8.233,0.7657,0,0,0,0
8.267,0.7656,0,0,0,0
8.300,0.7655,0,0,0,0
8.334,0.7655,0,0,0,0
8.367,0.7654,0,0,0,0
8.401,0.7654,0,0,0,0
8.434,0.7653,0,0,0,0
8.467,0.7652,0,0,0,0
8.500,0.7652,0,0,0,0
8.534,0.7651,0,0,0,0
8.566,0.7650,0,0,0,0
8.600,0.7650,0,0,0,0
8.633,0.7649,0,0,0,0
8.666,0.7649,0,0,0,0
8.701,0.7648,0,0,0,0
8.732,0.7648,0,0,0,0
8.767,0.7647,0,0,0,0
8.800,0.7647,0,0,0,0
8.834,0.7646,0,0,0,0
8.867,0.7646,0,0,0,0
8.901,0.7645,0,0,0,0
8.934,0.7645,0,0,0,0
8.967,0.7644,0,0,0,0
8.999,0.7644,0,0,0,0
9.034,0.7643,0,0,0,0
9.067,0.7643,0,0,0,0
9.100,0.7643,0,0,0,0
9.135,0.7642,0,0,0,0
9.167,0.7642,0,0,0,0
