time,halfW01,d0,d1,d2,d3
2.929,0.7359,0,0,0,0
0.345,0.7342,1,3,3,1
0.378,0.7343,1,3,3,1
0.411,0.7344,1,3,3,1
0.444,0.7346,1,3,3,1
0.478,0.7347,1,3,3,1
0.510,0.7349,1,3,3,1
0.544,0.7353,1,3,3,1
0.578,0.7355,1,3,3,1
0.611,0.7359,1,3,3,1
0.644,0.7363,1,3,3,1
0.677,0.7366,1,3,3,1
0.711,0.7371,1,3,3,1
0.744,0.7377,1,4,3,1
0.777,0.7380,1,4,3,1
0.811,0.7386,1,4,3,1
0.844,0.7393,1,4,3,1
0.877,0.7397,1,4,3,1
0.911,0.7404,1,4,3,1
0.944,0.7411,1,4,3,1
0.978,0.7415,1,4,3,1
1.011,0.7424,1,4,3,1
1.044,0.7432,1,4,3,1
1.077,0.7436,1,4,3,1
1.110,0.7445,1,4,3,1
1.144,0.7454,1,4,3,1
1.177,0.7458,1,4,3,1
1.211,0.7468,1,4,3,1
1.244,0.7477,1,4,3,1
1.277,0.7482,1,4,3,1
1.311,0.7492,1,4,3,1
1.344,0.7502,0,0,0,0
1.377,0.7507,0,0,0,0
1.411,0.7517,0,0,0,0
1.444,0.7527,0,0,0,0
1.477,0.7532,0,0,0,0
1.511,0.7542,0,0,0,0
1.545,0.7553,0,0,0,0
1.577,0.7558,0,0,0,0
1.611,0.7569,0,0,0,0
1.644,0.7579,0,0,0,0
1.677,0.7585,0,0,0,0
1.710,0.7595,0,0,0,0
1.744,0.7606,0,0,0,0
1.778,0.7611,0,0,0,0
1.811,0.7622,0,0,0,0
1.844,0.7633,0,0,0,0
1.877,0.7638,0,0,0,0
1.911,0.7649,0,0,0,0
1.944,0.7660,0,0,0,0
1.977,0.7666,0,0,0,0
2.010,0.7676,0,0,0,0
2.044,0.7687,0,0,0,0
2.077,0.7693,0,0,0,0
2.111,0.7704,0,0,0,0
2.144,0.7714,0,0,0,0
2.177,0.7720,0,0,0,0
2.211,0.7730,0,0,0,0
2.245,0.7741,0,0,0,0
2.277,0.7746,0,0,0,0
2.311,0.7757,0,0,0,0
2.344,0.7768,0,0,0,0
2.377,0.7773,0,0,0,0
2.411,0.7783,0,0,0,0
2.444,0.7794,0,0,0,0
2.477,0.7799,0,0,0,0
2.511,0.7809,0,0,0,0
2.544,0.7819,0,0,0,0
2.577,0.7825,0,0,0,0
2.611,0.7835,0,0,0,0
2.644,0.7845,0,0,0,0
2.677,0.7850,0,0,0,0
2.711,0.7859,0,0,0,0
2.744,0.7869,0,0,0,0
2.777,0.7874,0,0,0,0
2.811,0.7883,0,0,0,0
2.844,0.7893,0,0,0,0
2.877,0.7898,0,0,0,0
2.911,0.7743,1,3,3,2
2.944,0.7575,1,3,3,2
2.978,0.7554,1,3,3,2
3.011,0.7541,1,3,3,2
3.044,0.7511,1,3,3,2
3.077,0.7459,1,3,3,1
3.111,0.7397,1,3,3,1
3.144,0.7409,1,3,3,1
3.177,0.7415,1,4,3,1
3.210,0.7427,1,4,3,1
3.244,0.7439,1,4,3,1
3.278,0.7445,1,4,3,1
3.310,0.7471,1,4,3,1
3.344,0.7555,1,4,3,1
3.377,0.7618,1,4,4,1
3.411,0.7668,1,4,4,1
3.443,0.7674,1,4,4,1
3.477,0.7676,1,4,4,1
3.511,0.7682,1,4,4,1
3.543,0.7687,1,4,4,1
3.577,0.7690,1,4,4,1
3.611,0.7696,1,4,4,1
3.645,0.7702,1,4,4,1
3.677,0.7704,1,3,4,1
3.711,0.7710,1,3,4,1
3.744,0.7716,1,3,4,1
3.777,0.7719,1,3,4,1
3.811,0.7725,1,3,4,1
3.844,0.7730,1,3,4,1
3.878,0.7763,1,3,4,1
3.910,0.7782,1,3,4,1
3.944,0.7785,1,3,4,1
3.977,0.7791,1,3,4,1
4.011,0.7784,1,3,4,1
4.044,0.7759,1,3,4,1
4.077,0.7715,1,3,4,1
4.110,0.7721,1,3,4,1
4.144,0.7727,1,3,4,1
4.178,0.7730,1,3,4,1
4.210,0.7673,1,3,4,1
4.244,0.7641,1,3,4,1
4.277,0.7734,1,4,4,1
4.312,0.7744,1,4,4,1
4.344,0.7755,1,4,4,1
4.377,0.7760,1,4,4,1
4.410,0.7838,1,4,4,1
4.444,0.7900,1,4,4,1
4.477,0.7939,1,3,3,1
4.511,0.7966,1,3,3,1
4.543,0.7975,1,3,3,1
4.577,0.7979,1,3,3,1
4.610,0.7988,1,3,3,1
4.644,0.7995,1,3,3,1
4.677,0.7980,1,3,3,1
4.711,0.7988,1,3,3,2
4.744,0.7996,1,3,3,2
4.777,0.8000,1,3,3,2
4.811,0.8131,1,3,3,2
4.844,0.8260,1,3,3,2
4.878,0.8375,1,3,3,2
4.911,0.8373,1,3,3,2
4.944,0.8371,1,3,3,2
4.977,0.8370,1,3,3,2
5.011,0.8462,1,3,3,2
5.044,0.8535,1,3,3,2
5.077,0.8534,1,3,3,2
5.110,0.8531,1,3,3,2
5.144,0.8528,1,3,3,2
5.177,0.8581,1,3,3,2
5.210,0.8613,1,3,3,2
5.244,0.8627,1,3,3,2
5.277,0.8624,1,3,3,2
5.310,0.8620,1,3,3,2
5.344,0.8615,1,4,3,2
5.378,0.8610,1,4,3,2
5.411,0.8584,1,4,3,2
5.444,0.8539,1,4,3,2
5.477,0.8536,1,4,3,2
5.510,0.8530,1,4,3,2
5.544,0.8465,1,4,3,2
5.577,0.8385,1,4,3,2
5.610,0.8283,1,4,3,2
5.644,0.8277,1,4,3,2
5.678,0.8274,1,4,3,2
5.711,0.8267,1,3,3,2
5.744,0.8148,1,3,3,2
5.777,0.8021,1,3,3,2
5.810,0.8085,1,3,3,2
5.843,0.8131,1,3,3,2
5.877,0.8159,1,3,3,2
5.911,0.8161,1,3,3,2
5.944,0.8162,1,3,3,2
5.977,0.8163,1,3,3,2
6.010,0.8175,1,3,3,2
6.044,0.8168,1,3,3,2
6.078,0.8143,1,3,3,2
6.111,0.8101,1,3,3,2
6.144,0.8042,1,3,3,1
6.177,0.7965,2,3,3,1
6.211,0.7870,2,3,3,1
6.244,0.7873,2,3,3,1
6.277,0.7874,2,3,3,1
6.311,0.8187,2,3,3,1
6.344,0.8173,2,3,3,1
6.378,0.8139,2,3,3,1
6.411,0.8090,2,3,3,1
6.444,0.8023,2,3,3,1
6.478,0.7937,2,3,3,1
6.510,0.7838,2,3,3,1
6.544,0.7895,2,3,3,1
6.577,0.7982,2,3,3,1
6.611,0.8051,2,3,3,1
6.644,0.8101,2,3,3,1
6.677,0.8136,2,3,3,1
6.711,0.8152,2,3,3,1
6.744,0.8150,2,3,3,1
6.777,0.8132,2,3,3,1
6.811,0.8094,2,3,3,1
6.844,0.8041,2,3,3,1
6.877,0.7971,2,3,3,1
6.911,0.7969,2,3,3,1
6.944,0.7967,2,3,3,1
6.977,0.7966,2,3,3,1
7.011,0.7964,2,3,3,1
7.044,0.7962,2,3,3,1
7.077,0.7961,2,3,3,1
7.110,0.7959,2,3,3,1
7.144,0.7957,2,3,3,1
7.178,0.7956,2,3,3,1
7.210,0.7955,2,3,3,1
7.244,0.7953,2,3,3,1
7.278,0.7953,2,3,3,1
7.311,0.7956,2,3,3,1
7.344,0.7960,2,3,3,1
7.377,0.7962,2,3,3,1
7.411,0.7965,2,3,3,1
7.444,0.7968,2,3,3,1
7.477,0.7970,2,3,3,1
7.512,0.8014,2,3,3,1
7.544,0.8061,2,3,3,1
7.577,0.8094,2,3,3,1
7.611,0.8109,2,3,3,1
7.644,0.8107,2,3,3,1
7.677,0.8107,2,3,3,1
7.711,0.8105,2,3,3,1
7.744,0.8103,2,3,3,1
7.778,0.8083,2,3,3,1
7.811,0.8045,2,3,3,1
7.844,0.8044,2,3,3,1
7.878,0.8043,2,3,3,1
7.910,0.8042,2,3,3,1
7.944,0.8041,2,3,3,1
7.978,0.7986,2,3,3,1
8.011,0.7914,2,3,3,1
8.044,0.7825,2,3,3,1
8.078,0.7913,2,3,3,1
8.110,0.8014,2,3,3,1
8.144,0.8101,2,3,3,1
8.177,0.8169,2,3,3,1
8.211,0.8220,2,3,3,1
8.244,0.8253,2,3,3,1
8.277,0.8267,2,3,3,1
8.311,0.8264,2,3,3,1
8.344,0.8244,2,3,3,1
8.377,0.8204,2,3,3,1
8.411,0.8147,2,3,3,1
8.444,0.8072,1,3,3,1
8.477,0.7983,1,3,3,1
8.509,0.8087,1,3,3,2
8.544,0.8179,1,3,3,2
8.578,0.8250,1,3,3,2
8.610,0.8302,1,3,3,2
8.644,0.8338,1,3,3,2
8.677,0.8354,1,3,3,2
8.711,0.8353,1,3,3,2
8.744,0.8333,1,3,3,2
8.778,0.8295,1,3,3,2
8.811,0.8240,1,3,3,2
8.844,0.8167,1,3,3,2
8.878,0.8076,1,3,3,2
8.910,0.8142,1,3,3,2
8.944,0.8201,1,3,3,2
8.978,0.8241,1,3,3,2
9.011,0.8240,1,3,3,2
9.044,0.8240,1,3,3,2
9.078,0.8240,1,3,3,2
9.110,0.8240,1,3,3,2
9.143,0.8239,1,3,3,2
9.178,0.8239,1,3,3,2
9.211,0.8239,1,3,3,2
9.244,0.8238,1,3,3,2
9.277,0.8238,1,3,3,2
9.310,0.8238,1,3,3,2
9.344,0.8237,1,3,3,2
9.377,0.8237,1,3,3,2
9.411,0.8237,1,3,3,2
9.444,0.8235,1,3,3,2
9.478,0.8232,1,3,3,2
9.511,0.8223,1,3,3,2
9.544,0.8207,1,3,3,2
9.577,0.8197,1,3,3,2
9.610,0.8171,1,3,3,2
9.644,0.8139,1,3,3,2
9.678,0.8105,1,3,3,2
9.710,0.8070,1,3,3,2
9.744,0.8033,1,3,3,2
9.778,0.8015,1,3,3,2
9.810,0.7976,1,3,3,2
9.844,0.7933,1,3,3,2
9.878,0.7911,1,3,3,2
9.911,0.7863,1,3,3,2
9.944,0.7810,1,3,3,2
9.978,0.7783,1,3,3,2
10.011,0.7724,1,3,3,2
10.045,0.7661,1,3,3,1
10.077,0.7628,1,3,3,1
10.110,0.7560,1,3,4,1
10.144,0.7488,1,3,4,1
10.177,0.7451,1,4,4,1
10.211,0.7375,1,4,4,1
10.244,0.7296,1,4,4,1
10.277,0.7256,1,4,4,1
10.310,0.7174,1,4,4,1
10.344,0.7091,1,4,4,1
10.377,0.7049,1,4,4,1
10.411,0.6963,1,4,4,1
10.444,0.6877,1,4,4,1
10.477,0.6834,1,4,4,1
10.510,0.6746,1,4,4,1
10.544,0.6658,1,4,4,1
10.577,0.6613,1,4,4,1
10.611,0.6525,1,4,4,1
10.644,0.6435,1,4,4,1
10.677,0.6391,1,4,4,1
10.711,0.6301,1,4,4,1
10.744,0.6212,1,4,4,1
10.777,0.6167,1,4,4,1
10.810,0.6078,1,4,4,1
10.844,0.5988,1,4,4,1
10.877,0.5944,1,4,4,1
10.911,0.5854,1,4,5,1
10.944,0.5764,1,4,5,1
10.977,0.5720,1,4,5,1
11.011,0.5630,1,4,5,1
11.044,0.5541,1,5,5,1
11.077,0.5496,1,5,5,1
11.110,0.5407,1,5,5,1
11.144,0.5319,1,5,5,1
11.177,0.5277,1,5,5,1
11.211,0.5196,1,5,6,1
11.244,0.5122,0,5,6,1
11.278,0.5088,0,5,6,1
11.310,0.5028,0,5,6,1
11.344,0.4980,0,5,6,1
11.378,0.4962,0,6,6,1
11.411,0.4936,0,6,6,1
11.444,0.4926,0,6,6,1
11.477,0.4926,0,6,6,1
11.510,0.4938,0,6,6,1
11.544,0.4963,0,6,6,1
11.577,0.4980,0,6,6,1
11.610,0.5022,0,6,6,1
