time,halfW01,d0,d1,d2,d3
2.904,0.6446,0,1,1,0
0.333,0.6365,1,3,3,1
0.362,0.6362,1,3,3,1
0.396,0.6358,1,3,3,1
0.429,0.6366,1,3,3,1
0.462,0.6370,1,3,4,1
0.496,0.6378,1,3,4,1
0.529,0.6387,1,4,4,1
0.562,0.6391,1,4,4,1
0.596,0.6399,1,4,4,1
0.629,0.6408,1,4,4,1
0.663,0.6413,1,4,4,1
0.696,0.6422,1,4,4,1
0.730,0.6431,1,4,4,1
0.762,0.6435,1,4,4,1
0.796,0.6445,1,4,4,1
0.830,0.6309,1,4,4,1
0.863,0.6193,1,4,4,1
0.896,0.6111,1,4,4,1
0.930,0.6017,1,4,4,1
0.962,0.5916,1,4,4,1
0.995,0.5919,1,4,4,1
1.028,0.5924,1,4,4,1
1.062,0.5926,1,4,4,1
1.097,0.5931,1,4,4,1
1.129,0.5937,1,4,4,1
1.162,0.6045,1,4,4,1
1.196,0.6143,1,4,4,1
1.230,0.6282,1,4,4,1
1.262,0.6432,1,4,4,1
1.296,0.6580,1,4,4,1
1.329,0.6591,1,4,4,1
1.363,0.6596,1,4,4,1
1.395,0.6607,1,4,4,1
1.429,0.6618,1,4,4,1
1.463,0.6624,1,4,4,1
1.496,0.6635,1,4,4,1
1.529,0.6646,1,4,4,1
1.563,0.6652,1,4,4,1
1.595,0.6772,1,4,4,1
1.629,0.6882,1,4,4,1
1.663,0.6971,1,4,4,1
1.696,0.6979,1,4,4,1
1.729,0.6987,1,4,4,1
1.763,0.6992,1,4,4,1
1.796,0.7000,1,4,4,1
1.829,0.7009,1,4,4,1
1.862,0.7013,1,4,4,1
1.896,0.7021,1,4,4,1
1.929,0.7029,1,4,4,1
1.964,0.7034,1,4,4,1
1.996,0.7042,1,4,4,1
2.029,0.6978,1,4,4,1
2.062,0.6895,1,4,4,1
2.096,0.6802,1,4,4,1
2.129,0.6699,1,4,4,1
2.163,0.6704,1,4,4,1
2.195,0.6716,1,4,4,1
2.229,0.6727,1,4,4,1
2.262,0.6733,1,4,4,1
2.296,0.6744,1,4,4,1
2.329,0.6755,1,4,3,1
2.363,0.6761,1,4,3,1
2.395,0.6772,1,4,3,1
2.429,0.6783,1,4,3,1
2.463,0.6788,1,4,3,1
2.496,0.6799,1,4,3,1
2.530,0.6810,1,4,3,1
2.562,0.6815,1,4,3,1
2.595,0.6826,1,4,3,1
2.629,0.6836,1,4,3,1
2.662,0.6841,1,4,3,1
2.696,0.6852,1,4,3,1
2.729,0.6862,1,4,3,1
2.763,0.6867,1,4,3,1
2.796,0.6877,1,4,3,1
2.829,0.6887,1,4,3,1
2.862,0.6892,1,4,3,1
2.896,0.6902,1,4,3,1
2.929,0.6912,1,4,3,1
2.963,0.6917,1,4,3,1
2.995,0.6927,1,4,3,1
3.029,0.7036,1,4,3,1
3.062,0.7123,1,4,3,1
3.096,0.7201,1,4,3,1
3.129,0.7257,1,4,3,1
3.162,0.7260,1,4,3,1
3.196,0.7267,1,4,3,1
3.229,0.7274,1,4,3,1
3.262,0.7276,1,4,3,1
3.295,0.7279,1,4,3,1
3.330,0.7277,1,4,3,1
3.362,0.7273,1,4,3,1
3.396,0.7262,1,4,3,1
3.430,0.7244,1,4,3,1
3.462,0.7233,1,4,3,1
3.495,0.7205,1,4,3,1
3.530,0.7171,1,4,3,1
3.562,0.7152,1,4,3,1
3.596,0.7109,1,4,4,1
3.629,0.7062,1,4,4,1
3.662,0.7036,1,4,4,1
3.696,0.6981,1,4,4,1
3.729,0.6923,1,4,4,1
3.762,0.6892,1,4,4,1
3.796,0.6828,1,4,4,1
3.830,0.6762,1,4,4,1
3.862,0.6728,1,4,4,1
3.897,0.6658,1,4,4,1
3.929,0.6587,1,4,4,1
3.963,0.6550,1,4,4,1
3.996,0.6476,1,4,4,1
4.029,0.6402,1,4,4,1
4.062,0.6364,1,4,4,1
4.096,0.6288,1,4,4,1
4.130,0.6211,1,4,4,1
4.163,0.6173,1,4,4,1
4.196,0.6096,1,4,4,1
4.229,0.6018,1,4,4,1
4.262,0.5951,1,4,4,1
4.296,0.5833,1,4,4,1
4.329,0.5705,1,5,4,1
4.362,0.5605,1,5,4,1
4.396,0.5456,1,5,5,1
4.429,0.5300,1,5,5,1
4.463,0.5265,1,5,5,1
4.496,0.5195,1,5,5,1
4.529,0.5125,1,5,5,1
4.562,0.5090,0,5,5,1
4.595,0.5020,0,5,5,1
4.628,0.4951,0,6,6,1
4.663,0.4916,0,6,6,1
4.696,0.4846,0,6,6,1
4.729,0.4776,0,6,6,1
4.762,0.4742,0,6,6,1
4.796,0.4672,0,6,6,1
4.829,0.4602,0,6,6,1
4.862,0.4567,0,6,6,1
4.896,0.4498,0,6,7,1
4.928,0.4428,0,6,7,1
4.963,0.4393,0,6,7,1
4.996,0.4323,0,6,7,1
5.029,0.4253,0,6,7,1
5.062,0.4278,0,7,7,1
5.095,0.4256,0,7,7,1
5.129,0.4225,0,7,7,1
5.162,0.4218,0,7,7,1
5.196,0.4144,0,7,8,1
