time,halfW01,d0,d1,d2,d3
2.822,0.7006,0,1,1,0
0.333,0.7119,1,3,3,1
0.357,0.7128,1,3,3,1
0.400,0.7145,1,3,3,1
0.433,0.7163,1,3,3,1
0.466,0.7182,1,3,3,1
0.500,0.7191,1,3,3,1
0.533,0.7210,1,3,3,1
0.566,0.7229,1,3,3,1
0.600,0.7238,1,3,3,1
0.634,0.7258,1,3,3,1
0.667,0.7277,1,3,3,1
0.700,0.7286,1,3,3,1
0.733,0.7306,1,3,3,1
0.767,0.7325,1,3,4,1
0.800,0.7334,1,3,4,1
0.833,0.7353,1,3,4,1
0.866,0.7372,1,3,4,1
0.899,0.7382,1,4,4,1
0.933,0.7400,1,4,4,1
0.966,0.7418,1,4,4,1
1.000,0.7427,1,4,4,1
1.033,0.7445,1,4,4,1
1.066,0.7463,1,4,4,1
1.100,0.7471,1,4,4,1
1.133,0.7488,1,4,4,1
1.167,0.7505,1,3,4,1
1.200,0.7513,1,3,4,1
1.233,0.7529,1,3,4,1
1.267,0.7545,1,3,4,1
1.300,0.7553,1,3,4,1
1.333,0.7568,1,3,4,1
1.366,0.7583,1,3,4,1
1.400,0.7591,1,3,4,1
1.434,0.7605,1,3,4,1
1.466,0.7619,1,3,4,1
1.500,0.7626,1,3,4,1
1.533,0.7640,1,3,4,1
1.568,0.7653,1,3,4,1
1.600,0.7660,1,3,4,1
1.634,0.7673,0,0,0,0
1.667,0.7685,0,0,0,0
1.699,0.7692,0,0,0,0
1.733,0.7704,0,0,0,0
1.767,0.7715,0,0,0,0
1.800,0.7721,0,0,0,0
1.833,0.7733,0,0,0,0
1.869,0.7744,0,0,0,0
1.899,0.7749,0,0,0,0
1.933,0.7760,0,0,0,0
1.966,0.7771,0,0,0,0
2.000,0.7776,0,0,0,0
2.033,0.7786,0,0,0,0
2.066,0.7796,0,0,0,0
2.100,0.7801,0,0,0,0
2.133,0.7810,0,0,0,0
2.170,0.7820,0,0,0,0
2.199,0.7824,0,0,0,0
2.233,0.7833,0,0,0,0
2.266,0.7842,0,0,0,0
2.300,0.7847,0,0,0,0
2.334,0.7855,0,0,0,0
2.367,0.7863,0,0,0,0
2.400,0.7867,0,0,0,0
2.433,0.7875,0,0,0,0
2.466,0.7883,0,0,0,0
2.500,0.7887,0,0,0,0
2.533,0.7895,0,0,0,0
2.567,0.7902,0,0,0,0
2.600,0.7906,0,0,0,0
2.633,0.7913,0,0,0,0
2.666,0.7920,0,0,0,0
2.700,0.7923,0,0,0,0
2.734,0.7930,0,0,0,0
2.766,0.7936,0,0,0,0
2.800,0.7939,0,0,0,0
2.833,0.7945,0,0,0,0
2.867,0.7951,0,0,0,0
2.900,0.7954,0,0,0,0
2.933,0.7960,0,0,0,0
2.966,0.7966,0,0,0,0
3.000,0.7968,0,0,0,0
3.033,0.7974,0,0,0,0
3.067,0.7979,0,0,0,0
3.100,0.7981,0,0,0,0
3.133,0.7986,0,0,0,0
3.166,0.7991,0,0,0,0
3.200,0.7994,0,0,0,0
3.233,0.7998,0,0,0,0
3.266,0.8003,0,0,0,0
