time,halfW01,d0,d1,d2,d3
2.931,0.7509,0,1,0,0
0.333,0.7614,1,3,3,2
0.367,0.7620,1,3,3,2
0.401,0.7631,1,3,3,2
0.429,0.7642,1,3,3,2
0.467,0.7648,1,3,3,2
0.499,0.7659,1,3,3,2
0.534,0.7669,1,3,3,2
0.566,0.7675,1,3,3,2
0.599,0.7685,1,3,3,2
0.630,0.7696,1,3,3,2
0.664,0.7701,1,4,3,2
0.699,0.7711,1,4,3,2
0.733,0.7721,1,4,3,2
0.767,0.7726,1,4,3,2
0.799,0.7736,1,4,3,2
0.832,0.7746,1,4,3,2
0.866,0.7751,1,4,3,2
0.899,0.7760,1,4,3,2
0.932,0.7770,1,4,3,2
0.966,0.7775,1,4,3,2
1.000,0.7784,1,4,3,2
1.038,0.7793,1,4,3,2
1.070,0.7802,1,4,3,2
1.100,0.7806,1,4,3,2
1.133,0.7815,1,4,3,2
1.166,0.7820,1,4,3,2
1.201,0.7828,1,4,3,2
1.235,0.7837,1,4,3,2
1.266,0.7841,1,4,3,2
1.300,0.7849,1,4,3,2
1.333,0.7857,1,4,3,2
1.368,0.7865,1,4,3,2
1.400,0.7869,1,4,3,2
1.434,0.7877,1,4,3,2
1.466,0.7881,1,4,3,2
1.499,0.7889,1,4,3,2
1.532,0.7896,1,4,3,2
1.567,0.7900,1,4,3,2
1.600,0.7907,1,4,3,2
1.634,0.7914,0,0,0,0
1.666,0.7918,0,0,0,0
1.700,0.7925,0,0,0,0
1.733,0.7932,0,0,0,0
1.765,0.7935,0,0,0,0
1.799,0.7942,0,0,0,0
1.834,0.7948,0,0,0,0
1.868,0.7952,0,0,0,0
1.900,0.7958,0,0,0,0
1.933,0.7964,0,0,0,0
1.965,0.7967,0,0,0,0
1.998,0.7973,0,0,0,0
2.034,0.7979,0,0,0,0
2.065,0.7982,0,0,0,0
2.100,0.7988,0,0,0,0
2.134,0.7994,0,0,0,0
2.167,0.7996,0,0,0,0
2.199,0.8002,0,0,0,0
2.233,0.8007,0,0,0,0
2.267,0.8010,0,0,0,0
2.300,0.8015,0,0,0,0
2.332,0.8020,0,0,0,0
2.367,0.8023,0,0,0,0
2.400,0.8028,0,0,0,0
