time,halfW01,d0,d1,d2,d3
2.931,0.7435,0,1,0,0
0.333,0.7554,1,3,2,1
0.355,0.7561,1,3,2,2
0.391,0.7574,1,3,3,2
0.423,0.7581,1,4,3,2
0.458,0.7594,1,4,3,2
0.491,0.7606,1,4,3,2
0.524,0.7612,1,4,3,2
0.557,0.7624,1,4,3,2
0.591,0.7636,1,4,3,2
0.624,0.7642,1,4,3,2
0.657,0.7653,1,4,3,2
0.689,0.7663,1,4,3,2
0.724,0.7669,1,4,3,2
0.757,0.7679,1,4,3,2
0.790,0.7689,1,4,3,2
0.823,0.7694,1,4,3,2
0.858,0.7703,1,4,3,2
0.890,0.7712,1,4,3,2
0.927,0.7721,1,4,3,2
0.958,0.7725,1,4,3,2
0.990,0.7734,1,4,3,2
1.024,0.7738,1,4,3,2
1.056,0.7746,1,4,3,2
1.091,0.7753,1,4,3,2
1.123,0.7757,1,4,3,2
1.157,0.7765,1,4,3,2
1.190,0.7772,1,4,3,2
1.224,0.7776,1,4,3,2
1.256,0.7783,1,4,3,2
1.291,0.7790,1,4,3,2
1.323,0.7793,1,4,3,2
1.357,0.7800,1,4,3,2
1.391,0.7807,1,4,3,2
1.424,0.7810,1,4,3,2
1.461,0.7816,1,4,3,2
1.490,0.7823,1,4,3,2
1.524,0.7826,1,4,3,2
1.557,0.7832,1,4,3,2
1.591,0.7839,1,4,3,2
1.750,0.7864,0,0,0,0
1.777,0.7867,0,0,0,0
1.801,0.7870,0,0,0,0
1.812,0.7873,0,0,0,0
1.846,0.7879,0,0,0,0
1.880,0.7882,0,0,0,0
1.913,0.7888,0,0,0,0
1.946,0.7894,0,0,0,0
1.979,0.7898,0,0,0,0
2.013,0.7904,0,0,0,0
2.046,0.7910,0,0,0,0
2.080,0.7913,0,0,0,0
2.113,0.7919,0,0,0,0
2.146,0.7925,0,0,0,0
2.180,0.7928,0,0,0,0
2.213,0.7934,0,0,0,0
2.246,0.7940,0,0,0,0
2.281,0.7943,0,0,0,0
2.313,0.7949,0,0,0,0
2.347,0.7955,0,0,0,0
2.379,0.7958,0,0,0,0
2.414,0.7964,0,0,0,0
2.447,0.7970,0,0,0,0
2.479,0.7973,0,0,0,0
2.513,0.7978,0,0,0,0
2.547,0.7984,0,0,0,0
2.579,0.7987,0,0,0,0
2.613,0.7993,0,0,0,0
2.646,0.7999,0,0,0,0
2.680,0.8001,0,0,0,0
2.713,0.8007,0,0,0,0
2.746,0.8013,0,0,0,0
2.781,0.8015,0,0,0,0
2.813,0.8021,0,0,0,0
2.847,0.8026,0,0,0,0
2.879,0.8029,0,0,0,0
2.922,0.8035,0,0,0,0
2.947,0.8040,0,0,0,0
2.980,0.8043,0,0,0,0
3.013,0.8048,0,0,0,0
3.047,0.8053,0,0,0,0
3.080,0.8056,0,0,0,0
3.113,0.8061,0,0,0,0
3.146,0.8066,0,0,0,0
3.178,0.8068,0,0,0,0
3.214,0.8073,0,0,0,0
3.246,0.8078,0,0,0,0
3.279,0.8080,0,0,0,0
3.313,0.8085,0,0,0,0
3.347,0.8090,0,0,0,0
3.380,0.8092,0,0,0,0
3.414,0.8097,0,0,0,0
3.446,0.8101,0,0,0,0
3.479,0.8103,0,0,0,0
3.513,0.8108,0,0,0,0
3.547,0.8112,0,0,0,0
3.580,0.8114,0,0,0,0
3.614,0.8118,0,0,0,0
3.646,0.8122,0,0,0,0
3.679,0.8124,0,0,0,0
3.713,0.8128,0,0,0,0
3.747,0.8132,0,0,0,0
3.779,0.8134,0,0,0,0
3.813,0.8138,0,0,0,0
3.847,0.8142,0,0,0,0
3.879,0.8144,0,0,0,0
3.913,0.8147,0,0,0,0
3.945,0.8151,0,0,0,0
3.979,0.8153,0,0,0,0
4.012,0.8156,0,0,0,0
4.046,0.8159,0,0,0,0
4.080,0.8161,0,0,0,0
4.113,0.8164,0,0,0,0
4.147,0.8167,0,0,0,0
4.180,0.8169,0,0,0,0
4.213,0.8172,0,0,0,0
4.247,0.8175,0,0,0,0
4.279,0.8177,0,0,0,0
4.313,0.8179,0,0,0,0
4.347,0.8182,0,0,0,0
4.380,0.8184,0,0,0,0
