time,halfW01,d0,d1,d2,d3
2.947,0.7317,0,1,1,0
0.333,0.7369,1,3,3,1
0.366,0.7375,1,3,3,1
0.402,0.7378,1,3,3,1
0.435,0.7383,1,3,3,1
0.494,0.7390,1,3,3,1
0.527,0.7395,1,3,3,1
0.579,0.7400,1,3,3,1
0.612,0.7404,1,3,3,1
0.673,0.7410,1,3,3,1
0.706,0.7414,1,3,3,1
0.762,0.7417,1,3,3,1
0.796,0.7421,1,3,3,1
0.852,0.7425,1,3,3,1
0.885,0.7428,1,3,3,1
0.965,0.7433,1,3,3,1
0.998,0.7446,1,4,3,1
1.045,0.7438,1,4,3,1
1.078,0.7413,1,4,3,1
1.149,0.7362,1,4,3,1
1.182,0.7363,1,4,3,1
1.250,0.7369,1,4,3,1
1.283,0.7372,1,4,3,1
1.360,0.7376,1,4,3,1
1.394,0.7379,1,4,3,1
1.443,0.7383,1,4,3,1
1.476,0.7384,1,4,3,1
1.535,0.7388,1,4,3,1
1.568,0.7390,1,4,3,1
1.605,0.7393,1,4,3,1
1.638,0.7394,1,4,3,1
1.692,0.7397,1,4,3,1
1.725,0.7419,1,4,3,1
1.797,0.7475,1,4,3,1
1.830,0.7475,1,4,3,1
1.887,0.7566,1,4,3,1
1.920,0.7569,1,4,3,1
1.975,0.7576,1,4,3,1
2.008,0.7580,1,4,3,1
2.083,0.7587,1,4,3,1
2.115,0.7591,1,4,3,1
2.164,0.7597,1,4,3,1
2.197,0.7599,1,4,3,1
2.246,0.7604,1,4,3,1
2.279,0.7606,1,4,3,2
2.333,0.7611,1,4,3,2
2.366,0.7614,1,4,3,2
2.444,0.7619,1,3,3,2
2.478,0.7621,1,3,3,2
2.527,0.7624,1,3,3,2
2.560,0.7626,1,3,3,2
2.621,0.7629,1,3,3,2
2.654,0.7631,1,3,3,2
2.716,0.7633,1,3,3,2
2.752,0.7635,1,3,3,2
2.811,0.7637,1,3,3,2
2.841,0.7637,1,3,3,2
2.892,0.7639,1,3,3,2
2.925,0.7640,1,3,3,2
2.986,0.7641,1,3,3,2
3.020,0.7641,1,3,3,2
3.093,0.7642,1,3,3,2
3.126,0.7643,1,3,3,2
3.199,0.7643,0,0,0,0
3.232,0.7644,0,0,0,0
3.294,0.7644,0,0,0,0
3.329,0.7645,0,0,0,0
3.399,0.7646,0,0,0,0
3.430,0.7646,0,0,0,0
3.503,0.7647,0,0,0,0
3.537,0.7648,0,0,0,0
3.597,0.7648,0,0,0,0
3.630,0.7649,0,0,0,0
3.699,0.7650,0,0,0,0
3.732,0.7651,0,0,0,0
3.791,0.7652,0,0,0,0
3.824,0.7653,0,0,0,0
3.884,0.7654,0,0,0,0
3.917,0.7654,0,0,0,0
3.983,0.7655,0,0,0,0
4.016,0.7656,0,0,0,0
4.073,0.7657,0,0,0,0
4.106,0.7658,0,0,0,0
4.163,0.7659,0,0,0,0
4.196,0.7659,0,0,0,0
4.254,0.7661,0,0,0,0
4.287,0.7661,0,0,0,0
4.330,0.7662,0,0,0,0
4.363,0.7663,0,0,0,0
4.413,0.7664,0,0,0,0
4.445,0.7665,0,0,0,0
4.496,0.7666,0,0,0,0
4.529,0.7667,0,0,0,0
4.587,0.7668,0,0,0,0
4.620,0.7669,0,0,0,0
4.680,0.7670,0,0,0,0
4.714,0.7672,0,0,0,0
4.767,0.7673,0,0,0,0
4.800,0.7674,0,0,0,0
4.867,0.7676,0,0,0,0
4.900,0.7677,0,0,0,0
4.955,0.7679,0,0,0,0
4.988,0.7680,0,0,0,0
5.045,0.7682,0,0,0,0
5.078,0.7682,0,0,0,0
5.158,0.7684,0,0,0,0
5.191,0.7686,0,0,0,0
5.251,0.7688,0,0,0,0
5.284,0.7689,0,0,0,0
5.346,0.7691,0,0,0,0
5.380,0.7692,0,0,0,0
5.456,0.7694,0,0,0,0
5.489,0.7696,0,0,0,0
5.541,0.7697,0,0,0,0
5.574,0.7698,0,0,0,0
5.639,0.7700,0,0,0,0
5.673,0.7702,0,0,0,0
5.749,0.7704,0,0,0,0
5.782,0.7705,0,0,0,0
5.833,0.7706,0,0,0,0
5.867,0.7707,0,0,0,0
5.917,0.7708,0,0,0,0
5.950,0.7709,0,0,0,0
6.031,0.7711,0,0,0,0
6.064,0.7712,0,0,0,0
6.117,0.7713,0,0,0,0
6.150,0.7714,0,0,0,0
6.198,0.7715,0,0,0,0
6.231,0.7716,0,0,0,0
6.295,0.7717,0,0,0,0
6.328,0.7717,0,0,0,0
6.401,0.7718,0,0,0,0
6.434,0.7719,0,0,0,0
