time,halfW01,d0,d1,d2,d3
2.929,0.7642,0,1,1,0
0.333,0.7728,1,3,3,1
0.365,0.7734,1,3,3,1
0.399,0.7748,1,3,3,1
0.433,0.7761,1,3,3,1
0.467,0.7775,1,3,3,1
0.499,0.7782,1,3,3,1
0.532,0.7796,1,3,3,1
0.571,0.7811,1,3,3,1
0.599,0.7818,1,3,3,1
0.633,0.7833,1,4,3,1
0.665,0.7840,1,4,3,1
0.699,0.7855,1,4,3,1
0.731,0.7870,1,4,3,1
0.766,0.7878,1,4,3,1
0.799,0.7893,1,4,3,1
0.833,0.7908,1,4,3,1
0.865,0.7915,1,4,3,1
0.900,0.7930,1,4,3,1
0.932,0.7945,1,4,3,1
0.967,0.7960,1,4,3,1
1.000,0.7967,1,4,3,1
1.033,0.7982,1,4,3,1
1.065,0.7989,1,4,3,1
1.098,0.8004,1,4,3,1
1.132,0.8018,1,4,3,1
1.166,0.8025,1,4,3,1
1.200,0.8039,1,4,3,1
1.233,0.8053,1,4,3,1
1.266,0.8060,1,4,3,1
1.300,0.8074,1,4,3,1
1.333,0.8088,1,4,3,1
1.368,0.8101,1,4,3,1
1.399,0.8108,1,4,3,1
1.433,0.8121,1,4,3,1
1.465,0.8127,1,4,3,1
1.500,0.8140,1,4,3,1
1.533,0.8152,1,4,3,1
1.567,0.8159,1,4,3,1
1.598,0.8171,1,4,3,1
1.632,0.8183,1,4,3,1
1.666,0.8189,0,0,0,0
1.699,0.8200,0,0,0,0
1.733,0.8212,0,0,0,0
1.766,0.8218,0,0,0,0
1.800,0.8229,0,0,0,0
1.832,0.8239,0,0,0,0
1.868,0.8250,0,0,0,0
1.899,0.8255,0,0,0,0
1.932,0.8265,0,0,0,0
1.965,0.8270,0,0,0,0
2.000,0.8280,0,0,0,0
2.032,0.8290,0,0,0,0
2.065,0.8294,0,0,0,0
2.098,0.8304,0,0,0,0
2.132,0.8312,0,0,0,0
2.166,0.8317,0,0,0,0
2.200,0.8325,0,0,0,0
2.234,0.8333,0,0,0,0
2.266,0.8337,0,0,0,0
2.299,0.8345,0,0,0,0
2.333,0.8352,0,0,0,0
2.365,0.8356,0,0,0,0
2.398,0.8363,0,0,0,0
2.432,0.8370,0,0,0,0
2.467,0.8373,0,0,0,0
2.499,0.8379,0,0,0,0
2.533,0.8385,0,0,0,0
2.566,0.8388,0,0,0,0
2.600,0.8393,0,0,0,0
2.633,0.8398,0,0,0,0
2.666,0.8401,0,0,0,0
2.699,0.8406,0,0,0,0
2.732,0.8410,0,0,0,0
2.766,0.8412,0,0,0,0
2.798,0.8416,0,0,0,0
2.832,0.8420,0,0,0,0
2.866,0.8422,0,0,0,0
2.899,0.8425,0,0,0,0
2.933,0.8428,0,0,0,0
2.966,0.8429,0,0,0,0
3.000,0.8432,0,0,0,0
3.032,0.8434,0,0,0,0
3.066,0.8435,0,0,0,0
3.101,0.8437,0,0,0,0
3.133,0.8439,0,0,0,0
3.165,0.8439,0,0,0,0
3.199,0.8441,0,0,0,0
3.232,0.8442,0,0,0,0
3.267,0.8442,0,0,0,0
3.298,0.8443,0,0,0,0
3.332,0.8443,0,0,0,0
3.366,0.8443,0,0,0,0
3.400,0.8443,0,0,0,0
3.432,0.8443,0,0,0,0
3.466,0.8443,0,0,0,0
3.500,0.8442,0,0,0,0
3.532,0.8441,0,0,0,0
3.565,0.8441,0,0,0,0
3.599,0.8440,0,0,0,0
3.633,0.8438,0,0,0,0
3.665,0.8438,0,0,0,0
3.699,0.8436,0,0,0,0
3.732,0.8434,0,0,0,0
3.766,0.8433,0,0,0,0
3.803,0.8431,0,0,0,0
3.833,0.8429,0,0,0,0
3.866,0.8428,0,0,0,0
3.899,0.8426,0,0,0,0
3.932,0.8423,0,0,0,0
3.966,0.8422,0,0,0,0
3.999,0.8419,0,0,0,0
4.123,0.8410,0,0,0,0
4.144,0.8408,0,0,0,0
4.177,0.8405,0,0,0,0
4.211,0.8401,0,0,0,0
4.244,0.8399,0,0,0,0
4.277,0.8396,0,0,0,0
4.311,0.8392,0,0,0,0
4.344,0.8390,0,0,0,0
4.377,0.8386,0,0,0,0
4.410,0.8382,0,0,0,0
4.444,0.8380,0,0,0,0
4.479,0.8376,0,0,0,0
4.510,0.8372,0,0,0,0
4.543,0.8369,0,0,0,0
4.577,0.8365,0,0,0,0
4.610,0.8361,0,0,0,0
4.643,0.8359,0,0,0,0
4.677,0.8354,0,0,0,0
4.710,0.8350,0,0,0,0
4.744,0.8347,0,0,0,0
4.776,0.8343,0,0,0,0
4.810,0.8338,0,0,0,0
4.844,0.8336,0,0,0,0
4.878,0.8331,0,0,0,0
4.911,0.8326,0,0,0,0
4.943,0.8324,0,0,0,0
4.981,0.8319,0,0,0,0
5.009,0.8314,0,0,0,0
5.045,0.8312,0,0,0,0
5.077,0.8307,0,0,0,0
5.111,0.8302,0,0,0,0
5.144,0.8299,0,0,0,0
5.176,0.8294,0,0,0,0
5.211,0.8289,0,0,0,0
5.243,0.8287,0,0,0,0
5.278,0.8282,0,0,0,0
5.314,0.8276,0,0,0,0
5.345,0.8274,0,0,0,0
5.378,0.8269,0,0,0,0
5.410,0.8264,0,0,0,0
5.443,0.8261,0,0,0,0
5.479,0.8256,0,0,0,0
5.511,0.8251,0,0,0,0
5.544,0.8248,0,0,0,0
5.577,0.8243,0,0,0,0
5.610,0.8238,0,0,0,0
5.644,0.8235,0,0,0,0
5.677,0.8230,0,0,0,0
5.711,0.8225,0,0,0,0
5.743,0.8222,0,0,0,0
5.778,0.8217,0,0,0,0
5.810,0.8212,0,0,0,0
5.843,0.8209,0,0,0,0
5.877,0.8204,0,0,0,0
5.910,0.8198,0,0,0,0
5.943,0.8196,0,0,0,0
5.978,0.8191,0,0,0,0
6.011,0.8185,0,0,0,0
6.044,0.8183,0,0,0,0
6.076,0.8177,0,0,0,0
6.111,0.8172,0,0,0,0
6.145,0.8170,0,0,0,0
6.177,0.8164,0,0,0,0
6.210,0.8159,0,0,0,0
6.244,0.8156,0,0,0,0
6.277,0.8151,0,0,0,0
6.311,0.8146,0,0,0,0
6.344,0.8143,0,0,0,0
6.377,0.8138,0,0,0,0
6.411,0.8133,0,0,0,0
6.444,0.8130,0,0,0,0
6.478,0.8125,0,0,0,0
6.510,0.8120,0,0,0,0
6.543,0.8117,0,0,0,0
6.576,0.8112,0,0,0,0
6.610,0.8107,0,0,0,0
6.643,0.8104,0,0,0,0
6.677,0.8099,0,0,0,0
6.710,0.8094,0,0,0,0
6.744,0.8091,0,0,0,0
6.777,0.8086,0,0,0,0
6.811,0.8081,0,0,0,0
6.843,0.8079,0,0,0,0
6.877,0.8074,0,0,0,0
6.910,0.8069,0,0,0,0
6.943,0.8066,0,0,0,0
6.978,0.8061,0,0,0,0
7.011,0.8056,0,0,0,0
7.045,0.8053,0,0,0,0
7.077,0.8048,0,0,0,0
7.111,0.8043,0,0,0,0
7.144,0.8041,0,0,0,0
7.178,0.8036,0,0,0,0
7.210,0.8031,0,0,0,0
7.244,0.8029,0,0,0,0
7.277,0.8024,0,0,0,0
7.310,0.8019,0,0,0,0
7.344,0.8016,0,0,0,0
7.377,0.8011,0,0,0,0
7.410,0.8007,0,0,0,0
7.444,0.8004,0,0,0,0
7.477,0.7999,0,0,0,0
